NU_INSCRICAO;NU_IDADE;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;IN_BAIXA_VISAO;IN_CEGUEIRA;IN_SURDEZ;IN_DEFICIENCIA_AUDITIVA;IN_SURDO_CEGUEIRA;IN_DEFICIENCIA_FISICA;IN_DEFICIENCIA_MENTAL;IN_DEFICIT_ATENCAO;IN_DISLEXIA;IN_DISCALCULIA;IN_AUTISMO;IN_VISAO_MONOCULAR;IN_OUTRA_DEF;IN_GESTANTE;IN_LACTANTE;IN_IDOSO;IN_ESTUDA_CLASSE_HOSPITALAR;TP_PRESENCA_CN;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TP_LINGUA;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025
'190001199385';17;F;0;1;1;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;522.3;596.8;572.6;432.2;0;640;D;F;C;D;4;C;A;B;C;B;B;B;A;B;A;B;A;A;B;B;A;D;A;A;B
'190001199387';17;M;1;3;1;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;590.9;604.6;619.2;480.6;0;860;E;G;C;D;4;I;A;C;D;B;B;B;B;A;A;B;A;A;B;B;A;E;A;B;B
'190001199388';18;F;1;3;1;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;494.7;475.5;577.6;383.5;0;600;F;E;E;D;3;G;D;D;D;B;A;C;B;A;A;B;A;A;D;A;A;D;B;B;B
'190001199399';17;M;1;2;1;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;592.6;594.9;632.4;684.1;0;800;G;G;D;D;3;K;A;C;D;B;A;B;B;C;A;A;A;A;C;A;A;D;A;C;B
'190001199404';38;M;2;3;1;13;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;462.9;524.9;509.3;404.7;1;360;A;A;A;A;5;A;A;B;C;A;B;B;A;A;A;A;A;A;B;A;A;C;B;A;B
'190001199407';34;M;2;4;1;13;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;533.8;451.6;492.8;540.3;1;600;A;A;B;B;3;C;A;B;C;A;B;B;A;B;A;A;A;A;B;A;A;C;A;A;B
'190001199412';18;M;1;1;1;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;539;607.1;589;708;0;560;C;D;D;C;2;E;A;B;C;B;A;B;B;B;A;B;A;B;C;B;A;C;A;B;B
'190001202433';18;M;1;1;1;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;575.1;622.2;599;526.4;0;640;E;F;D;F;5;D;A;B;D;B;A;B;B;B;A;A;A;A;B;A;A;E;A;B;B
'190001202435';30;F;1;2;1;10;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;438.4;535.9;582.2;434.1;0;560;C;E;C;B;4;G;A;B;D;A;B;B;A;B;A;B;A;A;B;A;A;D;A;A;B
'190001202438';18;M;1;3;1;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;643.1;607.9;587.9;785.6;0;560;H;H;D;B;2;D;A;B;C;A;C;B;B;B;A;B;A;A;B;A;A;C;A;A;B
